,id,name,author,title,description,url,urlToImage,publishedAt,content
10,,Iphoneitalia.com,Giuseppe La Terza,Apple lancia la promozione Back to School 2021,"L'annuale promozione Back to School di Apple prende il via in alcuni paesi. Quali saranno le offerte?
Link all'articolo originale: Apple lancia la promozione Back to School 2021",https://www.iphoneitalia.com/766887/apple-back-to-school-2021,https://static.iphoneitalia.com/wp-content/uploads/2021/06/2021-back-to-school.png,2021-06-17T13:14:04Z,"Apple ha lanciato oggi la promozione Back to School 2021 negli Stati Uniti e in Canada, offrendo agli studenti AirPods omaggio insieme all’acquisto di alcuni modelli di Mac e iPad.
Un po’ come avven… [+785 chars]"
11,,Lefigaro.fr,Martin Couturié,"Après le Vendée Globe, Jean Le Cam raconte sa passion pour son jardin dans le nouveau podcast «les dessous de la voile»","Bien connues sur les pontons, Anne Millet (agence de communication spécialisée notamment dans la voile), Vanessa Lambert (animatrice à France Bleu) et...",https://www.lefigaro.fr/sports/voile/apres-le-vendee-globe-jean-le-cam-raconte-sa-passion-pour-son-jardin-dans-le-nouveau-podcast-les-dessous-de-la-voile-20210617,https://static.lefigaro.fr/f1/lefigaro/metas/og-image.png,2021-06-17T13:13:24Z,"Bien connues sur les pontons, Anne Millet (agence de communication spécialisée notamment dans la voile), Vanessa Lambert (animatrice à France Bleu) et Olivia Maincent (journaliste spécialisée dans la… [+544 chars]"
12,,Tuttoandroid.net,Giovanni Mattei,Per Tim Cook i malware su Android sono colpa del side-load. È davvero così?,"In una intervista Tim Cook ha parlato del problema malware di cui soffre Android rispetto iOS per via del side-load di app esterne
L'articolo Per Tim Cook i malware su Android sono colpa del side-load. È davvero così? proviene da TuttoAndroid.",https://www.tuttoandroid.net/news/2021/06/17/tim-cook-android-ios-malware-896111/,https://img.tuttoandroid.net/wp-content/uploads/2021/05/iphone-12-pro-vs-samsung-galaxy-s21-tt-3.jpg,2021-06-17T13:12:23Z,"Da qualche tempo a questa parte Tim Cook, e in generale Apple, si ritrova spesso a parlare della sicurezza e della privacy su iOS. Uno dei cavalli di battaglia di Apple, come ben sappiamo, è che iOS … [+1921 chars]"
13,,redmondpie.com,Paul Morris,"This Wall Charger Is Part Power Bank With 5,000mAh Capacity, Currently Just $17.99","The Anker PowerCore Fusion 5000 portable charger has an internal 5,000mAh battery capacity and is the perfect accessory for medium-to-heavy smartphone and tablet users. Now, thanks to an ongoing deal, it can be purchased with a 31% discount applied.
The post …",https://www.redmondpie.com/this-wall-charger-is-part-power-bank-with-5000mah-capacity-currently-just-17.99/,https://cdn.redmondpie.com/wp-content/uploads/2021/06/Anker-PowerCore-Fusion-5000-Deal-1.jpg,2021-06-17T13:11:05Z,"The Anker PowerCore Fusion 5000 portable charger has an internal 5,000mAh battery capacity and is the perfect accessory for medium-to-heavy smartphone and tablet users. Now, thanks to an ongoing deal… [+2770 chars]"
14,,Gazeta.ru,Валерия Бунина,Эксперты поддержали идею непрерывного мониторинга здоровья людей,"Apple собиралась создать собственную медицинскую службу - данные о здоровье клиентов должны были передаваться с гаджетов сразу врачу. Однако на этапе тестирования работа над проектом была приостановлена. Сейчас же все указывает на то, что от идеи Apple не отк…",https://www.gazeta.ru/tech/2021/06/17_a_13647662.shtml,https://img.gazeta.ru/files3/10/13648010/Depositphotos_29633783_xl-2015-pic905-895x505-62942.jpg,2021-06-17T13:09:56Z,"2016 Apple , The Wall Street Journal.
 , .
, , . Apple «» .
 — , , , .
 Apple . The Wall Street Journal , Apple MedTech.
« — , », — . 
 MacRumors, Apple , , . , Apple Watch .
 , WWDC21 Apple «… [+282 chars]"
15,,Business Wire,,TCL Launches Roku TV Models in the UK,"LONDON--(BUSINESS WIRE)--Today, TCL Electronics (1070.HK) and Roku, Inc. announced that they will be launching TCL Roku TV models in the UK. TCL Roku TV models will be available in both HD and 4K UHD resolution, in sizes ranging from 32” to 65”, offering cons…",https://www.businesswire.com/news/home/20210617005535/en/TCL-Launches-Roku-TV-Models-in-the-UK,https://mms.businesswire.com/media/20210617005535/en/885936/23/TCL_Roku_TV_-_Lifestyle.jpg,2021-06-17T13:09:33Z,"LONDON--(BUSINESS WIRE)--Today, TCL Electronics (1070.HK) and Roku, Inc. announced that they will be launching TCL Roku TV models in the UK. TCL Roku TV models will be available in both HD and 4K UHD… [+5261 chars]"
16,,TrustedReviews,Hannah Davies,"The PSVR 2, Oculus Quest 3 and Apple VR could all arrive next year","2022 could be the year of VR, with the PSVR 2, Oculus Quest 3 and Apple VR headsets all expected to launch next year. The latest rumour comes from a note by analyst Ming-Chi Kuo (via Android Central), who predicts that Facebook will ship between 18 and 20 mil…",https://www.trustedreviews.com/news/the-psvr-2-oculus-quest-3-and-apple-vr-could-all-arrive-next-year-4145831,https://www.trustedreviews.com/wp-content/uploads/sites/54/2016/03/psvr-6.jpg,2021-06-17T13:08:38Z,"2022 could be the year of VR, with the PSVR 2, Oculus Quest 3 and Apple VR headsets all expected to launch next year.
The latest rumour comes from a note by analyst Ming-Chi Kuo (via Android Central… [+2539 chars]"
17,,Snopes.com,AP News,Editors of Hong Kong Newspaper Arrested Under Security Law,Apple Daily said in a statement that the move left it “speechless” but vowed to continue its reporting.,https://www.snopes.com/ap/2021/06/17/editors-of-hong-kong-newspaper-arrested-under-security-law/,https://www.snopes.com/tachyon/2021/06/APTOPIX_Hong_Kong_Apple_Daily_27852-scaled.jpg,2021-06-17T13:07:40Z,"This article is republished here with permission from The Associated Press. This content is shared here because the topic may interest Snopes readers; it does not, however, represent the work of Snop… [+5033 chars]"
18,,New York Post,Amanda Woods,"Mugger punches 82-year-old man, steals cane in LES bodega","A heartless mugger punched an 82-year-old stranger in the head -- and then ripped off the man's cane inside a Lower East Side bodega this week, video shows.",https://nypost.com/2021/06/17/man-punches-82-year-old-steals-his-cane-in-manhattan-bodega/,https://nypost.com/wp-content/uploads/sites/2/2021/06/assault-bodega-cane-01.jpg?quality=90&strip=all&w=1200,2021-06-17T13:07:24Z,"A heartless mugger punched an 82-year-old stranger in the head — and then ripped off the man’s cane inside a Lower East Side bodega this week, video released by police Thursday shows. 
The elderly v… [+1121 chars]"
19,,Finextra,Editorial Team,"Rollout of contactless payments begins on buses in Oulu, Finland","Finland’s fifth largest city Oulu, the capital of Northern Scandinavia, welcomes contactless payments to its buses today. It’s the third Finnish city to adopt contactless transit payments this year, as part of a national rollout being managed by Helsinki Regi…",https://www.finextra.com/pressarticle/88150/rollout-of-contactless-payments-begins-on-buses-in-oulu-finland,https://www.finextra.com/about/finextra-logo.png,2021-06-17T13:05:11Z,"Finlands fifth largest city Oulu, the capital of Northern Scandinavia, welcomes contactless payments to its buses today. Its the third Finnish city to adopt contactless transit payments this year, as… [+3402 chars]"
